Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,MA_7,52W_High,52W_Low,Volatility
2025-04-01 00:00:00+05:30,1495.0061979771754,1502.92196020728,1474.2212903040318,1482.6226806640625,12680733,0.0,0.0,-0.008283254831898646,,,,
2025-04-02 00:00:00+05:30,1491.0726643663595,1510.9349273715397,1491.0726643663595,1505.593017578125,6193478,0.0,0.0,0.009738192885412469,,,,
2025-04-03 00:00:00+05:30,1490.5385603678294,1490.5385603678294,1442.3642697947264,1453.485107421875,10459504,0.0,0.0,-0.024859103904571578,,,,
2025-04-04 00:00:00+05:30,1418.5199114659142,1429.6893595876932,1406.3792069857197,1409.92431640625,9590254,0.0,0.0,-0.006059551924640548,,,,
2025-04-07 00:00:00+05:30,1313.1385736419368,1365.489314158466,1269.4320382766355,1356.602294921875,21715252,0.0,0.0,0.033099112426035394,,,,
2025-04-08 00:00:00+05:30,1389.8677955834949,1414.6348317731379,1374.3276944448953,1387.7310791015625,12805001,0.0,0.0,-0.00153735232136616,,,,
2025-04-09 00:00:00+05:30,1364.663707842691,1368.9371407012397,1342.1791008495861,1363.3524169921875,8546854,0.0,0.0,-0.0009608893700093669,1422.7587018694196,,,1.787358945811408
2025-04-11 00:00:00+05:30,1370.6854425398662,1397.4436008179698,1356.893650613513,1368.9371337890625,12567440,0.0,0.0,-0.001275499612488877,1406.5179094587054,,,1.7514343858337584
2025-04-15 00:00:00+05:30,1404.0480742507405,1406.087688754894,1368.5001176189407,1385.011474609375,10178530,0.0,0.0,-0.013558367402429715,1389.2919747488838,,,1.7824100566573537
2025-04-16 00:00:00+05:30,1384.0401507759727,1386.4682913913693,1356.6507720589223,1372.482177734375,12022740,0.0,0.0,-0.00835089432565787,1377.7201276506696,,,1.522326587159586
2025-04-17 00:00:00+05:30,1357.8163531049115,1388.7023519091767,1338.6826507754836,1378.6983642578125,14264227,0.0,0.0,0.015379113018597988,1373.25927734375,,,1.589715407054451
2025-04-21 00:00:00+05:30,1369.4714582615436,1429.4951483248678,1369.4714582615436,1409.29296875,15648970,0.0,0.0,0.029078014184397285,1380.7865164620537,,,1.4663878037270026
2025-04-22 00:00:00+05:30,1398.6091260339042,1398.6091260339042,1378.5041672717928,1381.903564453125,9399738,0.0,0.0,-0.011944410536024372,1379.9540143694196,,,1.5656909157806556
2025-04-23 00:00:00+05:30,1404.4366498623076,1445.0352117850275,1398.2205856526791,1432.5059814453125,11136642,0.0,0.0,0.019986185625216233,1389.8330950055804,,,1.7110417927197303
2025-04-24 00:00:00+05:30,1427.6496829084983,1440.2760150192205,1419.4911061400271,1429.1065673828125,7114292,0.0,0.0,0.0010204775665596814,1398.4287283761162,,,1.7009947710604045
2025-04-25 00:00:00+05:30,1433.0887071514799,1458.535575435,1421.4336312546193,1437.653564453125,8329979,0.0,0.0,0.0031853278020162507,1405.9490269252233,,,1.5116639127316402
2025-04-28 00:00:00+05:30,1437.6534907325017,1446.7833234291916,1423.1818670852326,1439.4989013671875,5886253,0.0,0.0,0.0012836268590322958,1415.5228445870537,,,1.3884174662116417
2025-04-29 00:00:00+05:30,1439.4018262859975,1466.4027986571466,1431.7288778586658,1454.456298828125,8056743,0.0,0.0,0.010458839406207853,1426.3454066685267,,,1.3586470982047163
2025-04-30 00:00:00+05:30,1453.7764926957282,1465.431568419441,1439.984581952398,1456.9815673828125,7704183,0.0,0.0,0.002204654362749521,1433.1580636160713,,,0.9756848638008754
2025-05-02 00:00:00+05:30,1456.5930649551544,1479.4175886205041,1453.1936678135066,1463.586181640625,7402310,0.0,0.0,0.004801009186245077,1444.8270089285713,,,0.6906190489988007
2025-05-05 00:00:00+05:30,1471.4532464465005,1479.2232965927526,1459.6039673980883,1465.2371826171875,4282493,0.0,0.0,-0.004224438557137023,1449.502894810268,,,0.4432180495365253
2025-05-06 00:00:00+05:30,1462.7120452184295,1472.0360823521305,1456.0103527730441,1468.053955078125,4270530,0.0,0.0,0.0036520584329349775,1455.0668073381696,,,0.4379685007679475
2025-05-07 00:00:00+05:30,1456.8844481471906,1475.1441139885928,1453.5821530190785,1464.9459228515625,5691799,0.0,0.0,0.005533365885416771,1458.9657156808037,,,0.44803942113792633
2025-05-08 00:00:00+05:30,1464.654491996011,1472.910170498641,1458.0499017692832,1467.956787109375,8424409,0.0,0.0,0.002254658099510966,1463.0311279296875,,,0.4419028570513562
2025-05-09 00:00:00+05:30,1457.5642989506216,1467.9568126185206,1451.1540310083215,1464.2659912109375,4478653,0.0,0.0,0.00459787075269393,1464.4325125558037,,,0.33000288728070953
2025-05-12 00:00:00+05:30,1492.8209942326298,1585.0903465111594,1487.96471253376,1580.136962890625,11372857,0.0,0.0,0.05849058192196656,1482.0261404854912,,,2.131665248545978
2025-05-13 00:00:00+05:30,1562.7513505672503,1565.859323230766,1519.627548132014,1523.5125732421875,12846210,0.0,0.0,-0.025108778380399283,1490.5870535714287,,,2.5323974070311577
2025-05-14 00:00:00+05:30,1528.75740058924,1549.1537826809642,1524.3867472838704,1546.6285400390625,4870057,0.0,0.0,0.011689977391399263,1502.214390345982,,,2.4916354758483883
2025-05-15 00:00:00+05:30,1544.1033749720434,1572.075486394776,1525.843708376521,1566.636474609375,11151167,0.0,0.0,0.014592999408306816,1516.297607421875,,,2.4887874929053995
2025-05-16 00:00:00+05:30,1566.2479103864578,1566.2479103864578,1536.0418626920532,1544.200439453125,4576751,0.0,0.0,-0.014076616343508956,1527.6196812220983,,,2.6560384847640632
2025-05-19 00:00:00+05:30,1531.1856318206726,1539.4413107743521,1510.9834523682187,1514.9656982421875,8855798,0.0,0.0,-0.010593054977402453,1534.335239955357,,,2.7412804337978347
2025-05-20 00:00:00+05:30,1524.8723866170074,1537.9843466293191,1513.2173110505078,1515.7425537109375,7143998,0.0,0.0,-0.005987276696855114,1541.6890345982142,,,2.7770529312710375
